,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 19:11:21, 1.403 sec,0.0,,,,,,
1,,2018-11-01 19:11:21, 1.430 sec,1.0,1.5680887763736535,0.6808594560229393,2.458902410589022,2.350088884230913,0.9606186050692933,5.522917763785697
2,,2018-11-01 19:11:21, 1.446 sec,2.0,1.6401838153459052,0.7364284880313282,2.6902029481226504,2.1093563823395316,0.8343062313050249,4.449384347716516
3,,2018-11-01 19:11:21, 1.465 sec,3.0,1.5530618755692214,0.7450036205655547,2.412001189346588,1.9465174506664984,0.7789133384562376,3.7889301857492037
4,,2018-11-01 19:11:21, 1.481 sec,4.0,1.5315215681173768,0.7177550957754409,2.3455583136087093,1.9263061830026251,0.7567495241059482,3.7106555106741435
5,,2018-11-01 19:11:21, 1.507 sec,5.0,1.462972679548662,0.6801960358974403,2.1402890611057916,1.925161053301979,0.7324077028378829,3.7062450811507848
6,,2018-11-01 19:11:21, 1.525 sec,6.0,1.4543061562906123,0.6720401714943514,2.115006396224775,1.9929807619222586,0.7323991931879235,3.971972317392227
7,,2018-11-01 19:11:21, 1.544 sec,7.0,1.4053282373723401,0.6522405138290281,1.9749474547560486,2.014604850482983,0.7249108340160639,4.058632703589562
8,,2018-11-01 19:11:21, 1.597 sec,8.0,1.4081328440223335,0.6439056308993583,1.9828381064144254,2.0408484697129987,0.7139163340131868,4.165062476329889
9,,2018-11-01 19:11:21, 1.618 sec,9.0,1.4280343409101712,0.6484997703839407,2.039282078818747,2.113557479184768,0.7051235954510577,4.4671252178178715
