,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-11-01 19:31:41, 2.790 sec,0.0,,,,,,
1,,2018-11-01 19:31:41, 2.972 sec,1.0,3.2277998061814563,2.6130841121495325,10.418691588785046,3.189695487561593,2.5842696629213484,10.174157303370787
2,,2018-11-01 19:31:41, 3.072 sec,2.0,3.140655230644997,2.5225694444444446,9.863715277777779,2.8672648753068732,2.335674157303371,8.22120786516854
3,,2018-11-01 19:31:41, 3.101 sec,3.0,3.0785116326022908,2.4855782881868067,9.477233872067622,2.6102303997562157,2.1529862226618364,6.813302739811495
4,,2018-11-01 19:31:41, 3.132 sec,4.0,3.045313651096463,2.483840211439094,9.273935233554472,2.546208429478342,2.1195299958579996,6.483177366346564
5,,2018-11-01 19:31:41, 3.165 sec,5.0,2.957708613108098,2.413492709733707,8.748040240053827,2.5369351311075663,2.128449036967888,6.436039859447764
6,,2018-11-01 19:31:42, 3.196 sec,6.0,2.8673193054564154,2.347129121446855,8.22151999944306,2.5043726205639127,2.106923822941405,6.271882222630159
7,,2018-11-01 19:31:42, 3.236 sec,7.0,2.7951906849028108,2.3021997276006574,7.813090964967444,2.4972128942537553,2.099373710193756,6.236072239227218
8,,2018-11-01 19:31:42, 3.263 sec,8.0,2.7292804186316846,2.2562804411720165,7.448971603526343,2.4878535681635396,2.101084721138638,6.189415376624057
9,,2018-11-01 19:31:42, 3.290 sec,9.0,2.6975466587995673,2.227455760342318,7.2767579764007095,2.466404220027291,2.0748718120483276,6.08314977656843
10,,2018-11-01 19:31:42, 3.312 sec,10.0,2.6742179007361977,2.2112959547291333,7.151441380617917,2.4674507206706395,2.077960473499941,6.088313058938058
11,,2018-11-01 19:31:42, 3.335 sec,11.0,2.6322078490087186,2.189862883032458,6.928518160383106,2.4457098444241177,2.0661900125679855,5.981496643113043
12,,2018-11-01 19:31:42, 3.366 sec,12.0,2.595081239032515,2.1729660968695694,6.734446637178534,2.430373636169393,2.056187235293317,5.906716011387237
13,,2018-11-01 19:31:42, 3.389 sec,13.0,2.564830723064351,2.1523523477007394,6.5783566379747995,2.409191122350241,2.045665815305174,5.8042018640112145
